time,year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_,tot_solar_mw,theory_power,solar_zenith
2023-01-01 00:00:00,2023,2023-01-01,1,,,0.0,0.8117424373123053,84.98880964261326
2023-01-01 01:00:00,2023,2023-01-01,2,,,0.0,3.3311718716822685,75.3462202996485
2023-01-01 02:00:00,2023,2023-01-01,3,,,0.0,5.242409244115752,67.19859088955289
2023-01-01 03:00:00,2023,2023-01-01,4,,,0.0,6.518004726647629,61.26772043975547
2023-01-01 04:00:00,2023,2023-01-01,5,,,0.0,7.129137951511016,58.26355873209863
2023-01-01 05:00:00,2023,2023-01-01,6,,,0.0,7.052058184808104,58.64756244039141
2023-01-01 06:00:00,2023,2023-01-01,7,1.336,9.0,0.0013360000000000002,6.290035160167241,62.356109823674984
2023-01-01 07:00:00,2023,2023-01-01,8,32.24300000000011,1324.0,0.03224300000000011,4.871067727156587,68.8431861787872
2023-01-01 08:00:00,2023,2023-01-01,9,345.91699999999935,1587.0,0.34591699999999936,2.818380347362667,77.38586478480127
2023-01-01 09:00:00,2023,2023-01-01,10,805.2840000000006,1674.0,0.8052840000000006,0.2926601308831975,87.22871073345408
2023-01-01 10:00:00,2023,2023-01-01,11,1136.386,1700.0,1.136386,0.0,98.47654349319596
2023-01-01 11:00:00,2023,2023-01-01,12,1147.097999999998,1705.0,1.147097999999998,0.0,110.1243754097274
2023-01-01 12:00:00,2023,2023-01-01,13,923.552,1696.0,0.923552,0.0,122.17833419111585
2023-01-01 13:00:00,2023,2023-01-01,14,891.0289999999977,1689.0,0.8910289999999977,0.0,134.43151075395133
2023-01-01 14:00:00,2023,2023-01-01,15,634.0229999999988,1661.0,0.6340229999999988,0.0,146.6313714732804
2023-01-01 15:00:00,2023,2023-01-01,16,193.2579999999997,1551.0,0.1932579999999997,0.0,158.2225672136778
2023-01-01 16:00:00,2023,2023-01-01,17,9.207999999999995,776.0,0.009207999999999996,0.0,166.94022149659355
2023-01-01 17:00:00,2023,2023-01-01,18,,,0.0,0.0,165.5933903728439
2023-01-01 18:00:00,2023,2023-01-01,19,,,0.0,0.0,155.82040326838592
2023-01-01 19:00:00,2023,2023-01-01,20,,,0.0,0.0,144.00785197992406
2023-01-01 20:00:00,2023,2023-01-01,21,,,0.0,0.0,131.76442867460298
2023-01-01 21:00:00,2023,2023-01-01,22,,,0.0,0.0,119.53251600060142
2023-01-01 22:00:00,2023,2023-01-01,23,,,0.0,0.0,107.54345136916776
2023-01-01 23:00:00,2023,2023-01-01,24,,,0.0,0.0,96.00653523369836
