time,valid_time,solar_rad,number,expver,temp_2m,cloud_cover
1970-01-01 00:00:00,2023-01-01 00:00:00,9.109519,0,0001,-2.2529602,75.79316
1970-01-01 00:00:00,2023-01-01 01:00:00,85.42901,0,0001,-1.923706,81.48321
1970-01-01 00:00:00,2023-01-01 02:00:00,187.97795,0,0001,2.9644775,86.88361
1970-01-01 00:00:00,2023-01-01 03:00:00,278.26437,0,0001,3.1535034,90.19465
1970-01-01 00:00:00,2023-01-01 04:00:00,328.69904,0,0001,3.2972107,91.52901
1970-01-01 00:00:00,2023-01-01 05:00:00,341.48456,0,0001,5.5290527,92.947464
1970-01-01 00:00:00,2023-01-01 06:00:00,309.6858,0,0001,5.531555,93.94552
1970-01-01 00:00:00,2023-01-01 07:00:00,224.3034,0,0001,5.505768,95.402756
1970-01-01 00:00:00,2023-01-01 08:00:00,133.02884,0,0001,4.6315613,95.68032
1970-01-01 00:00:00,2023-01-01 09:00:00,47.27878,0,0001,4.3595276,94.355225
1970-01-01 00:00:00,2023-01-01 10:00:00,2.546484,0,0001,2.159851,95.317955
1970-01-01 00:00:00,2023-01-01 11:00:00,0.0,0,0001,2.172699,95.936226
1970-01-01 00:00:00,2023-01-01 12:00:00,0.0,0,0001,2.093048,95.925934
1970-01-01 00:00:00,2023-01-01 13:00:00,0.0,0,0001,2.1152344,92.822464
1970-01-01 00:00:00,2023-01-01 14:00:00,0.0,0,0001,1.4433594,90.05982
1970-01-01 00:00:00,2023-01-01 15:00:00,0.0,0,0001,0.37893677,86.2786
1970-01-01 00:00:00,2023-01-01 16:00:00,0.0,0,0001,0.3071289,81.3192
1970-01-01 00:00:00,2023-01-01 17:00:00,0.0,0,0001,-0.31063843,74.74887
1970-01-01 00:00:00,2023-01-01 18:00:00,0.0,0,0001,-0.4079895,63.633305
1970-01-01 00:00:00,2023-01-01 19:00:00,0.0,0,0001,-0.4616089,54.607193
1970-01-01 00:00:00,2023-01-01 20:00:00,0.0,0,0001,-1.2961731,48.609364
1970-01-01 00:00:00,2023-01-01 21:00:00,0.0,0,0001,-1.2769165,50.725616
1970-01-01 00:00:00,2023-01-01 22:00:00,0.0,0,0001,-1.5430908,51.534832
1970-01-01 00:00:00,2023-01-01 23:00:00,0.0,0,0001,-1.6519775,54.070503
1970-01-01 00:00:00,2023-01-02 00:00:00,9.6311035,0,0001,-1.6864929,52.996372
1970-01-01 00:00:00,2023-01-02 01:00:00,93.76072,0,0001,-1.4762878,51.540382
1970-01-01 00:00:00,2023-01-02 02:00:00,225.19887,0,0001,2.546173,52.128895
1970-01-01 00:00:00,2023-01-02 03:00:00,348.20053,0,0001,2.6418762,52.07742
1970-01-01 00:00:00,2023-01-02 04:00:00,432.68683,0,0001,2.7436829,49.247517
1970-01-01 00:00:00,2023-01-02 05:00:00,457.72385,0,0001,5.045868,46.5061
1970-01-01 00:00:00,2023-01-02 06:00:00,423.8581,0,0001,5.096283,40.1674
1970-01-01 00:00:00,2023-01-02 07:00:00,324.84558,0,0001,5.06958,37.39143
1970-01-01 00:00:00,2023-01-02 08:00:00,207.67401,0,0001,4.0586853,35.590244
1970-01-01 00:00:00,2023-01-02 09:00:00,77.57218,0,0001,4.0397644,32.42222
1970-01-01 00:00:00,2023-01-02 10:00:00,3.9848135,0,0001,0.5150757,38.0651
1970-01-01 00:00:00,2023-01-02 11:00:00,0.0,0,0001,0.19299316,39.61902
1970-01-01 00:00:00,2023-01-02 12:00:00,0.0,0,0001,0.002746582,41.85929
1970-01-01 00:00:00,2023-01-02 13:00:00,0.0,0,0001,-0.12942505,45.08567
1970-01-01 00:00:00,2023-01-02 14:00:00,0.0,0,0001,-0.91119385,44.57053
1970-01-01 00:00:00,2023-01-02 15:00:00,0.0,0,0001,-2.1726685,41.954586
1970-01-01 00:00:00,2023-01-02 16:00:00,0.0,0,0001,-2.206421,34.810673
1970-01-01 00:00:00,2023-01-02 17:00:00,0.0,0,0001,-2.7783813,27.562609
1970-01-01 00:00:00,2023-01-02 18:00:00,0.0,0,0001,-2.8178406,19.418442
1970-01-01 00:00:00,2023-01-02 19:00:00,0.0,0,0001,-2.906311,12.447314
1970-01-01 00:00:00,2023-01-02 20:00:00,0.0,0,0001,-3.951477,8.556544
1970-01-01 00:00:00,2023-01-02 21:00:00,0.0,0,0001,-4.0188293,6.549773
1970-01-01 00:00:00,2023-01-02 22:00:00,0.0,0,0001,-4.4449463,7.718881
1970-01-01 00:00:00,2023-01-02 23:00:00,0.0,0,0001,-4.4787292,7.994295
1970-01-01 00:00:00,2023-01-03 00:00:00,12.236526,0,0001,-4.4889526,8.288467
1970-01-01 00:00:00,2023-01-03 01:00:00,119.83185,0,0001,-3.802185,8.434705
1970-01-01 00:00:00,2023-01-03 02:00:00,276.11237,0,0001,2.3229675,6.29403
1970-01-01 00:00:00,2023-01-03 03:00:00,410.20712,0,0001,2.5932617,6.016064
1970-01-01 00:00:00,2023-01-03 04:00:00,495.43375,0,0001,3.0437012,7.7340274
1970-01-01 00:00:00,2023-01-03 05:00:00,519.37244,0,0001,6.300995,8.266197
1970-01-01 00:00:00,2023-01-03 06:00:00,481.63388,0,0001,6.375,8.246021
1970-01-01 00:00:00,2023-01-03 07:00:00,379.47537,0,0001,6.377289,7.468434
1970-01-01 00:00:00,2023-01-03 08:00:00,241.71783,0,0001,5.4187317,6.3917913
1970-01-01 00:00:00,2023-01-03 09:00:00,90.40554,0,0001,5.13797,5.123662
1970-01-01 00:00:00,2023-01-03 10:00:00,5.15215,0,0001,1.109436,4.3411956
1970-01-01 00:00:00,2023-01-03 11:00:00,0.0,0,0001,0.9718933,3.4965265
1970-01-01 00:00:00,2023-01-03 12:00:00,0.0,0,0001,0.8501587,3.2640774
1970-01-01 00:00:00,2023-01-03 13:00:00,0.0,0,0001,0.72717285,3.222006
1970-01-01 00:00:00,2023-01-03 14:00:00,0.0,0,0001,-0.067993164,5.127151
1970-01-01 00:00:00,2023-01-03 15:00:00,0.0,0,0001,-1.1600037,7.6171055
1970-01-01 00:00:00,2023-01-03 16:00:00,0.0,0,0001,-1.2945251,12.999771
1970-01-01 00:00:00,2023-01-03 17:00:00,0.0,0,0001,-1.8858337,17.32938
1970-01-01 00:00:00,2023-01-03 18:00:00,0.0,0,0001,-1.9371033,21.015917
1970-01-01 00:00:00,2023-01-03 19:00:00,0.0,0,0001,-1.9675598,22.66152
1970-01-01 00:00:00,2023-01-03 20:00:00,0.0,0,0001,-3.029541,23.34384
1970-01-01 00:00:00,2023-01-03 21:00:00,0.0,0,0001,-3.0058289,24.19239
1970-01-01 00:00:00,2023-01-03 22:00:00,0.0,0,0001,-3.2023315,23.943155
1970-01-01 00:00:00,2023-01-03 23:00:00,0.0,0,0001,-3.1842651,25.590065
1970-01-01 00:00:00,2023-01-04 00:00:00,12.545866,0,0001,-3.036377,28.910833
1970-01-01 00:00:00,2023-01-04 01:00:00,115.36106,0,0001,-2.2724915,28.250816
